%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.position0,field.position1,field.position2,field.position3,field.position4,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4
5616048000000,280781,5616048000000,,end,joint2,joint4,joint6,motortom2m,-7.522450814967385e-05,6.260665375990015e-05,0.0001080859591322536,5.031883254602576e-05,0.00012013645478869961,1.2018710891760107e-12,-7.129286319541404e-13,-3.0235666008010657e-13,1.4110836769734548e-13,-8.931559748946166e-13,0.0,0.0,0.0,0.0,0.0
5616068000000,280782,5616068000000,,end,joint2,joint4,joint6,motortom2m,-7.522450814967385e-05,6.260665375990015e-05,0.00010808595913047725,5.031883254602576e-05,0.00012013645478958779,1.2018710912692014e-12,-7.129286283517274e-13,-3.023566566401205e-13,1.411083707049958e-13,-8.9315597148403e-13,0.0,0.0,0.0,0.0,0.0
5616088000000,280783,5616088000000,,end,joint2,joint4,joint6,motortom2m,-7.522450814967385e-05,6.260665375990015e-05,0.00010808595913047725,5.031883254602576e-05,0.00012013645478869961,1.2018710903663414e-12,-7.129286299042785e-13,-3.023566581229409e-13,1.4110836940820177e-13,-8.931559729537535e-13,0.0,0.0,0.0,0.0,0.0
5616108000000,280784,5616108000000,,end,joint2,joint4,joint6,motortom2m,-7.522450814967385e-05,6.260665376078833e-05,0.00010808595913047725,5.031883254602576e-05,0.00012013645479047597,1.2018710903076495e-12,-7.129286301057731e-13,-3.0235665830184456e-13,1.4110836926735084e-13,-8.93155973150907e-13,0.0,0.0,0.0,0.0,0.0
5616128000000,280785,5616128000000,,end,joint2,joint4,joint6,motortom2m,-7.522450815056203e-05,6.260665376078833e-05,0.0001080859591322536,5.031883254513758e-05,0.00012013645478958779,1.201871090132957e-12,-7.129286304611453e-13,-3.0235665863286645e-13,1.411083689869451e-13,-8.931559734919608e-13,0.0,0.0,0.0,0.0,0.0
5616148000000,280786,5616148000000,,end,joint2,joint4,joint6,motortom2m,-7.522450814967385e-05,6.260665375901198e-05,0.0001080859591322536,5.031883254602576e-05,0.00012013645479047597,1.201871088798298e-12,-7.129286325012323e-13,-3.023566606169064e-13,1.4110836721195767e-13,-8.931559754050399e-13,0.0,0.0,0.0,0.0,0.0
5616168000000,280787,5616168000000,,end,joint2,joint4,joint6,motortom2m,-7.522450814967385e-05,6.260665375901198e-05,0.0001080859591322536,5.031883254602576e-05,0.00012013645478958779,1.201871088716814e-12,-7.129286325915933e-13,-3.0235666071000845e-13,1.4110836712286229e-13,-8.93155975487356e-13,0.0,0.0,0.0,0.0,0.0
5616188000000,280788,5616188000000,,end,joint2,joint4,joint6,motortom2m,-7.522450814967385e-05,6.260665375901198e-05,0.0001080859591322536,5.031883254602576e-05,0.00012013645478869961,1.201871087753143e-12,-7.129286342498766e-13,-3.0235666229345044e-13,1.4110836573840327e-13,-8.931559770574233e-13,0.0,0.0,0.0,0.0,0.0
5616208000000,280789,5616208000000,,end,joint2,joint4,joint6,motortom2m,-7.522450814967385e-05,6.260665375990015e-05,0.0001080859591322536,5.031883254602576e-05,0.00012013645478958779,1.2018710901255218e-12,-7.129286303192163e-13,-3.0235665851920827e-13,1.411083690618825e-13,-8.931559733465296e-13,0.0,0.0,0.0,0.0,0.0
5616228000000,280790,5616228000000,,end,joint2,joint4,joint6,motortom2m,-7.522450814967385e-05,6.260665375990015e-05,0.0001080859591322536,5.031883254513758e-05,0.00012013645478869961,1.2018710901717746e-12,-7.129286300859119e-13,-3.023566583180283e-13,1.411083692137192e-13,-8.931559731146805e-13,0.0,0.0,0.0,0.0,0.0
5616248000000,280791,5616248000000,,end,joint2,joint4,joint6,motortom2m,-7.522450814967385e-05,6.260665375990015e-05,0.0001080859591322536,5.031883254602576e-05,0.00012013645478958779,1.2018710905301959e-12,-7.129286296188777e-13,-3.0235665785161556e-13,1.4110836964443332e-13,-8.931559726827352e-13,0.0,0.0,0.0,0.0,0.0
5616268000000,280792,5616268000000,,end,joint2,joint4,joint6,motortom2m,-7.522450814967385e-05,6.260665375990015e-05,0.0001080859591322536,5.031883254602576e-05,0.00012013645478958779,1.2018710889393585e-12,-7.129286324112912e-13,-3.02356660509713e-13,1.411083673294034e-13,-8.931559753308114e-13,0.0,0.0,0.0,0.0,0.0
5616288000000,280793,5616288000000,,end,joint2,joint4,joint6,motortom2m,-7.522450814967385e-05,6.260665375990015e-05,0.0001080859591322536,5.031883254602576e-05,0.00012013645479047597,1.2018710898093871e-12,-7.129286309681551e-13,-3.0235665912361376e-13,1.4110836855009397e-13,-8.931559739685993e-13,0.0,0.0,0.0,0.0,0.0
5616308000000,280794,5616308000000,,end,joint2,joint4,joint6,motortom2m,-7.522450815056203e-05,6.260665376078833e-05,0.0001080859591322536,5.031883254602576e-05,0.00012013645478869961,1.2018710897319488e-12,-7.129286309464938e-13,-3.023566591252324e-13,1.411083685243823e-13,-8.931559739367809e-13,0.0,0.0,0.0,0.0,0.0
5616328000000,280795,5616328000000,,end,joint2,joint4,joint6,motortom2m,-7.522450814967385e-05,6.260665376078833e-05,0.00010808595913136543,5.031883254513758e-05,0.00012013645478958779,1.2018710893982156e-12,-7.129286315182505e-13,-3.0235665967186224e-13,1.4110836804576018e-13,-8.931559744776611e-13,0.0,0.0,0.0,0.0,0.0
5616348000000,280796,5616348000000,,end,joint2,joint4,joint6,motortom2m,-7.522450814967385e-05,6.260665376078833e-05,0.0001080859591322536,5.031883254602576e-05,0.00012013645478869961,1.2018710913490526e-12,-7.129286283148439e-13,-3.0235665659141357e-13,1.4110837076306606e-13,-8.931559714557825e-13,0.0,0.0,0.0,0.0,0.0
5616368000000,280797,5616368000000,,end,joint2,joint4,joint6,motortom2m,-7.522450814967385e-05,6.260665375901198e-05,0.0001080859591322536,5.031883254602576e-05,0.00012013645478958779,1.2018710910768516e-12,-7.129286286797719e-13,-3.023566569544374e-13,1.411083704292486e-13,-8.931559717938906e-13,0.0,0.0,0.0,0.0,0.0
